direction,rank,word,coefficient
positive,1,great,0.57352023
positive,2,sentient,0.45264557
positive,3,oriental,0.40597141
positive,4,attained,0.35397124
positive,5,excellent,0.3508706
positive,6,ot,0.34235438
positive,7,love,0.33671292
positive,8,puppetry,0.33590517
positive,9,glitzy,0.33543158
positive,10,enjoyed,0.32126852
positive,11,devoured,0.31989565
positive,12,awesome,0.3167835
positive,13,batgirl,0.31320561
positive,14,good,0.31080897
positive,15,loved,0.3076529
positive,16,winding,0.30220039
positive,17,transvestite,0.29933139
positive,18,shading,0.29721921
positive,19,unknowingly,0.29675432
positive,20,tearjerker,0.29659491
negative,1,waste,-0.59440627
negative,2,boring,-0.55627156
negative,3,poor,-0.45706112
negative,4,disappointing,-0.44686777
negative,5,awful,-0.44481516
negative,6,terrible,-0.43269875
negative,7,stinks,-0.40301844
negative,8,spouting,-0.39310788
negative,9,milking,-0.39247228
negative,10,snooze,-0.39160159
negative,11,worst,-0.39096666
negative,12,sucks,-0.38706394
negative,13,meh,-0.36886439
negative,14,overacted,-0.36808138
negative,15,manufacture,-0.3667306
negative,16,uneventful,-0.36556724
negative,17,socio,-0.36501351
negative,18,cloying,-0.35976506
negative,19,cobbled,-0.35245856
negative,20,horrible,-0.34940172
